Ref,Val,Package,PosX,PosY,Rot,Side
"C4","100n","C_0603_1608Metric",-173.560900,-67.780200,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-98.980900,-100.260200,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-173.560900,-100.260200,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-98.980900,-67.780200,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-148.700900,-100.260200,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-123.840900,-67.780200,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-123.840900,-100.260200,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-148.700900,-67.780200,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-146.900900,-67.599600,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-97.180900,-100.079600,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-171.760900,-67.599600,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-122.040900,-100.079600,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-171.760900,-100.079600,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-122.040900,-67.599600,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-97.180900,-67.599600,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-146.900900,-100.079600,-90.000000,bottom
"D1","1N4148","D_SOD-123",-175.560900,-100.306500,-90.000000,bottom
"D1","1N4148","D_SOD-123",-100.980900,-67.826500,-90.000000,bottom
"D1","1N4148","D_SOD-123",-125.840900,-67.826500,-90.000000,bottom
"D1","1N4148","D_SOD-123",-100.980900,-100.306500,-90.000000,bottom
"D1","1N4148","D_SOD-123",-175.560900,-67.826500,-90.000000,bottom
"D1","1N4148","D_SOD-123",-150.700900,-67.826500,-90.000000,bottom
"D1","1N4148","D_SOD-123",-125.840900,-100.306500,-90.000000,bottom
"D1","1N4148","D_SOD-123",-150.700900,-100.306500,-90.000000,bottom
"D2","1N4148","D_SOD-123",-150.300900,-93.906500,90.000000,bottom
"D2","1N4148","D_SOD-123",-175.160900,-93.906500,90.000000,bottom
"D2","1N4148","D_SOD-123",-100.580900,-93.906500,90.000000,bottom
"D2","1N4148","D_SOD-123",-125.440900,-61.426500,90.000000,bottom
"D2","1N4148","D_SOD-123",-175.160900,-61.426500,90.000000,bottom
"D2","1N4148","D_SOD-123",-125.440900,-93.906500,90.000000,bottom
"D2","1N4148","D_SOD-123",-150.300900,-61.426500,90.000000,bottom
"D2","1N4148","D_SOD-123",-100.580900,-61.426500,90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-144.746000,-81.690800,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-95.026000,-49.210800,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-144.746000,-49.210800,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-169.606000,-49.210800,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-119.886000,-81.690800,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-169.606000,-81.690800,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-95.026000,-81.690800,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-119.886000,-49.210800,-90.000000,bottom
"R3","120k","R_0805_2012Metric",-85.287600,-94.506800,90.000000,bottom
"R3","120k","R_0805_2012Metric",-110.147600,-62.026800,90.000000,bottom
"R3","120k","R_0805_2012Metric",-159.867600,-62.026800,90.000000,bottom
"R3","120k","R_0805_2012Metric",-85.287600,-62.026800,90.000000,bottom
"R3","120k","R_0805_2012Metric",-159.867600,-94.506800,90.000000,bottom
"R3","120k","R_0805_2012Metric",-110.147600,-94.506800,90.000000,bottom
"R3","120k","R_0805_2012Metric",-135.007600,-94.506800,90.000000,bottom
"R3","120k","R_0805_2012Metric",-135.007600,-62.026800,90.000000,bottom
"R4","100k","R_0805_2012Metric",-84.324300,-91.763600,180.000000,bottom
"R4","100k","R_0805_2012Metric",-109.184300,-59.283600,180.000000,bottom
"R4","100k","R_0805_2012Metric",-158.904300,-59.283600,180.000000,bottom
"R4","100k","R_0805_2012Metric",-109.184300,-91.763600,180.000000,bottom
"R4","100k","R_0805_2012Metric",-84.324300,-59.283600,180.000000,bottom
"R4","100k","R_0805_2012Metric",-134.044300,-59.283600,180.000000,bottom
"R4","100k","R_0805_2012Metric",-158.904300,-91.763600,180.000000,bottom
"R4","100k","R_0805_2012Metric",-134.044300,-91.763600,180.000000,bottom
"R5","100k","R_0805_2012Metric",-138.258800,-101.060000,180.000000,bottom
"R5","100k","R_0805_2012Metric",-88.538800,-101.060000,180.000000,bottom
"R5","100k","R_0805_2012Metric",-163.118800,-68.580000,180.000000,bottom
"R5","100k","R_0805_2012Metric",-113.398800,-68.580000,180.000000,bottom
"R5","100k","R_0805_2012Metric",-88.538800,-68.580000,180.000000,bottom
"R5","100k","R_0805_2012Metric",-113.398800,-101.060000,180.000000,bottom
"R5","100k","R_0805_2012Metric",-163.118800,-101.060000,180.000000,bottom
"R5","100k","R_0805_2012Metric",-138.258800,-68.580000,180.000000,bottom
"R6","120k","R_0805_2012Metric",-86.760800,-99.028000,0.000000,bottom
"R6","120k","R_0805_2012Metric",-136.480800,-99.028000,0.000000,bottom
