Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C4","100n","C_0603_1608Metric",-173.611700,-69.549400,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-123.891700,-102.029400,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-148.751700,-102.029400,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-173.611700,-102.029400,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-99.031700,-102.029400,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-148.751700,-69.549400,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-99.031700,-69.549400,-90.000000,bottom
"C4","100n","C_0603_1608Metric",-123.891700,-69.549400,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-171.811700,-101.848800,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-171.811700,-69.368800,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-146.951700,-101.848800,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-97.231700,-101.848800,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-122.091700,-69.368800,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-146.951700,-69.368800,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-97.231700,-69.368800,-90.000000,bottom
"C5","4u7","C_0805_2012Metric",-122.091700,-101.848800,-90.000000,bottom
"D1","1N4148","D_SOD-123",-150.751700,-69.595700,-90.000000,bottom
"D1","1N4148","D_SOD-123",-125.891700,-69.595700,-90.000000,bottom
"D1","1N4148","D_SOD-123",-101.031700,-69.595700,-90.000000,bottom
"D1","1N4148","D_SOD-123",-150.751700,-102.075700,-90.000000,bottom
"D1","1N4148","D_SOD-123",-175.611700,-69.595700,-90.000000,bottom
"D1","1N4148","D_SOD-123",-175.611700,-102.075700,-90.000000,bottom
"D1","1N4148","D_SOD-123",-125.891700,-102.075700,-90.000000,bottom
"D1","1N4148","D_SOD-123",-101.031700,-102.075700,-90.000000,bottom
"D2","1N4148","D_SOD-123",-125.491700,-95.675700,90.000000,bottom
"D2","1N4148","D_SOD-123",-125.491700,-63.195700,90.000000,bottom
"D2","1N4148","D_SOD-123",-150.351700,-95.675700,90.000000,bottom
"D2","1N4148","D_SOD-123",-150.351700,-63.195700,90.000000,bottom
"D2","1N4148","D_SOD-123",-100.631700,-95.675700,90.000000,bottom
"D2","1N4148","D_SOD-123",-175.211700,-95.675700,90.000000,bottom
"D2","1N4148","D_SOD-123",-175.211700,-63.195700,90.000000,bottom
"D2","1N4148","D_SOD-123",-100.631700,-63.195700,90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-169.656800,-50.980000,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-119.936800,-83.460000,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-119.936800,-50.980000,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-144.796800,-50.980000,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-95.076800,-50.980000,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-144.796800,-83.460000,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-169.656800,-83.460000,-90.000000,bottom
"D3","SS14HE","D_PowerDI-123",-95.076800,-83.460000,-90.000000,bottom
"R3","120k","R_0805_2012Metric",-135.058400,-96.276000,90.000000,bottom
"R3","120k","R_0805_2012Metric",-159.918400,-96.276000,90.000000,bottom
"R3","120k","R_0805_2012Metric",-110.198400,-63.796000,90.000000,bottom
"R3","120k","R_0805_2012Metric",-110.198400,-96.276000,90.000000,bottom
"R3","120k","R_0805_2012Metric",-135.058400,-63.796000,90.000000,bottom
"R3","120k","R_0805_2012Metric",-159.918400,-63.796000,90.000000,bottom
"R3","120k","R_0805_2012Metric",-85.338400,-63.796000,90.000000,bottom
"R3","120k","R_0805_2012Metric",-85.338400,-96.276000,90.000000,bottom
"R4","100k","R_0805_2012Metric",-109.235100,-61.052800,180.000000,bottom
"R4","100k","R_0805_2012Metric",-84.375100,-61.052800,180.000000,bottom
"R4","100k","R_0805_2012Metric",-109.235100,-93.532800,180.000000,bottom
"R4","100k","R_0805_2012Metric",-158.955100,-61.052800,180.000000,bottom
"R4","100k","R_0805_2012Metric",-84.375100,-93.532800,180.000000,bottom
"R4","100k","R_0805_2012Metric",-158.955100,-93.532800,180.000000,bottom
"R4","100k","R_0805_2012Metric",-134.095100,-61.052800,180.000000,bottom
"R4","100k","R_0805_2012Metric",-134.095100,-93.532800,180.000000,bottom
"R5","100k","R_0805_2012Metric",-163.169600,-70.349200,180.000000,bottom
"R5","100k","R_0805_2012Metric",-88.589600,-102.829200,180.000000,bottom
"R5","100k","R_0805_2012Metric",-113.449600,-102.829200,180.000000,bottom
"R5","100k","R_0805_2012Metric",-138.309600,-102.829200,180.000000,bottom
"R5","100k","R_0805_2012Metric",-113.449600,-70.349200,180.000000,bottom
"R5","100k","R_0805_2012Metric",-88.589600,-70.349200,180.000000,bottom
"R5","100k","R_0805_2012Metric",-138.309600,-70.349200,180.000000,bottom
"R5","100k","R_0805_2012Metric",-163.169600,-102.829200,180.000000,bottom
"R6","120k","R_0805_2012Metric",-161.391600,-68.317200,0.000000,bottom
"R6","120k","R_0805_2012Metric",-111.671600,-68.317200,0.000000,bottom
